date,query,clicks,impressions,ctr,position
2026-03-18,digital twin of a person,0.0,1.0,0.0,76.0
2026-03-18,the daily vox,0.0,1.0,0.0,11.0
2026-03-19,the daily vox,0.0,1.0,0.0,8.0
2026-03-20,journal before bed,0.0,1.0,0.0,70.0
2026-04-02,getdailyvox,0.0,4.0,0.0,1.0
2026-04-03,getdailyvox,0.0,3.0,0.0,1.0
2026-04-04,getdailyvox,0.0,4.0,0.0,1.0
2026-04-05,getdailyvox,0.0,10.0,0.0,1.0
2026-04-06,getdailyvox,0.0,2.0,0.0,1.0
2026-04-07,getdailyvox,0.0,3.0,0.0,1.0
2026-04-08,getdailyvox,0.0,4.0,0.0,1.0
2026-04-09,day one journal pricing subscription 2026,0.0,1.0,0.0,12.0
2026-04-09,getdailyvox,0.0,2.0,0.0,1.0
2026-04-10,digital journal apps market,0.0,2.0,0.0,71.5
2026-04-10,getdailyvox,0.0,3.0,0.0,1.0
2026-04-11,digital journal apps market,0.0,1.0,0.0,73.0
2026-04-11,getdailyvox,0.0,1.0,0.0,1.0
2026-04-12,digital journal apps market,0.0,2.0,0.0,82.5
2026-04-12,getdailyvox,0.0,7.0,0.0,1.0
2026-04-12,vox daily,0.0,1.0,0.0,42.0
2026-04-13,digital journal apps market,0.0,2.0,0.0,74.5
2026-04-13,getdailyvox,0.0,4.0,0.0,1.0
2026-04-14,digital journal apps market,0.0,2.0,0.0,77.0
2026-04-14,getdailyvox,0.0,7.0,0.0,1.0
2026-04-15,digital journal apps market,0.0,2.0,0.0,70.0
2026-04-15,getdailyvox,0.0,2.0,0.0,1.0
2026-04-15,untold voice journal,0.0,2.0,0.0,34.5
2026-04-16,digital journal apps market,0.0,2.0,0.0,78.0
2026-04-16,getdailyvox,0.0,6.0,0.0,1.0
2026-04-17,dailyvox,1.0,3.0,0.3333333333333333,1.3333333333333333
2026-04-17,digital journal apps market,0.0,2.0,0.0,76.5
2026-04-17,getdailyvox,0.0,2.0,0.0,1.0
2026-04-18,daily vox,0.0,1.0,0.0,4.0
2026-04-18,digital journal apps market,0.0,3.0,0.0,74.0
2026-04-18,getdailyvox,1.0,1.0,1.0,1.0
2026-04-19,daily vox,0.0,1.0,0.0,6.0
2026-04-19,digital journal apps market,0.0,3.0,0.0,74.66666666666667
2026-04-19,vox daily,0.0,1.0,0.0,7.0
2026-04-20,digital journal apps market,0.0,2.0,0.0,73.5
2026-04-20,getdailyvox,0.0,1.0,0.0,1.0
2026-04-21,digital journal apps market,0.0,1.0,0.0,74.0
2026-04-21,the daily vox,0.0,1.0,0.0,8.0
2026-04-22,dailyvox,1.0,1.0,1.0,1.0
2026-04-22,digital journal apps market,0.0,5.0,0.0,76.0
2026-04-23,digital journal apps market,0.0,2.0,0.0,71.0
2026-04-24,digital journal apps market,0.0,4.0,0.0,73.0
2026-04-25,digital journal apps market,0.0,4.0,0.0,71.25
2026-04-26,digital journal apps market,0.0,4.0,0.0,76.75
