date,cluster,in_sitemap,checked,indexed
2026-08-12,blog,140,140,94
2026-08-12,core,15,15,14
2026-08-12,reports,2,2,0
2026-08-12,research,1,1,1
2026-08-13,blog,142,142,96
2026-08-13,core,15,15,14
2026-08-13,reports,2,2,0
2026-08-13,research,1,1,1
2026-08-14,blog,142,142,99
2026-08-14,core,15,15,14
2026-08-14,reports,2,2,0
2026-08-14,research,1,1,1
2026-08-15,blog,143,143,101
2026-08-15,core,15,15,14
2026-08-15,reports,2,2,0
2026-08-15,research,1,1,1
2026-08-16,blog,143,143,102
2026-08-16,core,15,15,14
2026-08-16,reports,2,2,0
2026-08-16,research,1,1,1
2026-08-17,blog,144,143,102
2026-08-17,core,15,15,14
2026-08-17,reports,2,2,0
2026-08-17,research,1,1,1
2026-08-18,blog,146,146,102
2026-08-18,core,15,15,14
2026-08-18,reports,2,2,0
2026-08-18,research,1,1,1
